Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
JADE,3,15,0.7516360771458885,0.6177156177156178,0.6368563685636857,0.6177156177156178,0.625,0.6314851692694686,0.6368563685636857,0.542088687612126,1.0490235186775947,0.5027100271002709,1.5416832490003223,0.76
JADE,4,20,0.7587697262304373,0.6160714285714286,0.6056910569105691,0.6160714285714286,0.6102055279943303,0.6073477493380406,0.6056910569105691,0.5332676189951848,1.1195731297120617,0.44918699186991873,1.56431475029036,0.78
JADE,5,21,0.7315563983705576,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
JADE,6,22,0.7673298943748466,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
JADE,7,23,0.7417344722448027,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
JADE,8,24,0.7373201151263191,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.509681444365198,1.1125928950240838,0.43902439024390244,1.446449423843832,0.76
JADE,9,27,0.7600552512056936,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
JADE,10,28,0.7417344722448027,0.7275747508305648,0.6856368563685638,0.7275747508305648,0.7023809523809523,0.6914953376025166,0.6856368563685638,0.6465614628391226,1.0682810980029118,0.548780487804878,2.1261558130531473,0.84
JADE,11,30,0.7260283712926251,0.6739130434782609,0.5867208672086721,0.6739130434782609,0.6021220159151193,0.5892857142857142,0.5867208672086721,0.5422355535344136,1.2761373396402405,0.3990514905149051,1.90585601508189,0.82
JADE,12,32,0.7303016545601292,0.5871212121212122,0.5623306233062331,0.5871212121212122,0.5686274509803921,0.5637591575091575,0.5623306233062331,0.492456602851477,1.2557091478525535,0.3814363143631436,1.438675371602201,0.78
JADE,13,35,0.7361074756423595,0.6160714285714286,0.6056910569105691,0.6160714285714286,0.6102055279943303,0.6073477493380406,0.6056910569105691,0.5332676189951848,1.1195731297120617,0.44918699186991873,1.56431475029036,0.78
JADE,14,37,0.7337144322908078,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.509681444365198,1.1125928950240838,0.43902439024390244,1.446449423843832,0.76
JADE,15,39,0.7272347778813296,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
JADE,16,40,0.7341099665069017,0.5416666666666667,0.537940379403794,0.5416666666666667,0.5393338058114813,0.5383936451897616,0.537940379403794,0.44840718608521835,1.2350891541657638,0.3638211382113821,1.2025745257452574,0.74
JADE,17,41,0.7439391350895774,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
JADE,18,42,0.739611351093381,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
JADE,19,45,0.7562380215243991,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
ARO,0,7,0.7392038571201311,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.509681444365198,1.1125928950240838,0.43902439024390244,1.446449423843832,0.76
ARO,1,8,0.7492399520263298,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
ARO,2,11,0.7518716515898456,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.5934959349593496,0.509681444365198,1.1125928950240838,0.43902439024390244,1.446449423843832,0.76
ARO,3,15,0.770260823247549,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
ARO,4,20,0.7532072220486457,0.6177156177156178,0.6368563685636857,0.6177156177156178,0.625,0.6314851692694686,0.6368563685636857,0.542088687612126,1.0490235186775947,0.5027100271002709,1.5416832490003223,0.76
ARO,5,21,0.7389112903225806,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
ARO,6,22,0.7400592331836611,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
ARO,7,23,0.7597707186322805,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
ARO,8,24,0.7547458172458172,0.675990675990676,0.7046070460704608,0.675990675990676,0.6875,0.6969919295671312,0.7046070460704608,0.6184072396767717,1.0231543159083225,0.589430894308943,1.8098432732579073,0.8
ARO,9,27,0.7510173016638534,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
ARO,10,28,0.7457653077407573,0.7275747508305648,0.6856368563685638,0.7275747508305648,0.7023809523809523,0.6914953376025166,0.6856368563685638,0.6465614628391226,1.0682810980029118,0.548780487804878,2.1261558130531473,0.84
ARO,11,30,0.7312219340083117,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
ARO,12,32,0.7400188450666307,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
ARO,13,35,0.7368461063416594,0.7275747508305648,0.6856368563685638,0.7275747508305648,0.7023809523809523,0.6914953376025166,0.6856368563685638,0.6465614628391226,1.0682810980029118,0.548780487804878,2.1261558130531473,0.84
ARO,14,37,0.73579955326483,0.6222222222222222,0.5745257452574526,0.6222222222222222,0.584717607973422,0.5764966740576496,0.5745257452574526,0.5164876167970026,1.265948042890033,0.3902439024390244,1.6260162601626016,0.8
ARO,15,39,0.7413135593220339,0.7,0.7168021680216803,0.7,0.7076023391812866,0.7129156010230178,0.7168021680216803,0.6450110971726335,1.026304517950297,0.6023035230352304,1.937669376693767,0.82
ARO,16,40,0.7474966009111943,0.6557017543859649,0.6924119241192412,0.6557017543859649,0.6684749849306811,0.6812087458745875,0.6924119241192412,0.5931013853680704,1.0201246942594988,0.5765582655826558,1.7029786525935435,0.78
ARO,17,41,0.760581134494178,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
ARO,18,42,0.7482541581225792,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
ARO,19,45,0.7524749721139697,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
AVOA,0,7,0.7420707536550786,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AVOA,1,8,0.7600251875951094,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AVOA,2,11,0.7593138268541494,0.5416666666666667,0.537940379403794,0.5416666666666667,0.5393338058114813,0.5383936451897616,0.537940379403794,0.44840718608521835,1.2350891541657638,0.3638211382113821,1.2025745257452574,0.74
AVOA,3,15,0.73652914123082,0.7289972899728998,0.7289972899728998,0.7289972899728998,0.7289972899728998,0.7289972899728997,0.7289972899728998,0.673120962910132,1.029563725506835,0.6151761517615176,2.093477574342139,0.84
AVOA,4,20,0.7315563983705577,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
AVOA,5,21,0.7431579358568694,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.6612466124661247,0.591401203637665,1.0585110528005521,0.5257452574525745,1.7699634990929853,0.8
AVOA,6,22,0.7648624610365045,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
AVOA,7,23,0.7378848469212246,0.6818181818181819,0.6300813008130082,0.6818181818181819,0.6470588235294118,0.6353021978021978,0.6300813008130082,0.5847372205148449,1.133593503828099,0.46951219512195125,1.9154964276915496,0.82
AVOA,8,24,0.7424612020019347,0.6008771929824561,0.6246612466124661,0.6008771929824561,0.6081977094635322,0.6167491749174918,0.6246612466124661,0.5191198190713561,1.0444094218677666,0.4911924119241192,1.4554509580183521,0.74
AVOA,9,27,0.7477477477477478,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
AVOA,10,28,0.7329255840991125,0.7275747508305648,0.6856368563685638,0.7275747508305648,0.7023809523809523,0.6914953376025166,0.6856368563685638,0.6465614628391226,1.0682810980029118,0.548780487804878,2.1261558130531473,0.84
AVOA,11,30,0.7270735686058267,0.6375,0.6490514905149052,0.6375,0.6426250812215725,0.6463128729752771,0.6490514905149052,0.5661246743221076,1.0537275060412907,0.5142276422764227,1.644647696476965,0.78
AVOA,12,32,0.7316796046912413,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
AVOA,13,35,0.7577413880861751,0.7275747508305648,0.6856368563685638,0.7275747508305648,0.7023809523809523,0.6914953376025166,0.6856368563685638,0.6465614628391226,1.0682810980029118,0.548780487804878,2.1261558130531473,0.84
